cells,ens_id,gene
T_naive,ENSG00000255495,AC145124.1
T_naive,ENSG00000104219,ZDHHC2
T_naive,ENSG00000129422,MTUS1
T_naive,ENSG00000078674,PCM1
T_naive,ENSG00000147408,CSGALNACT1
T_naive,ENSG00000275074,NUDT18
T_naive,ENSG00000104635,SLC39A14
T_naive,ENSG00000251034,AC037459.2
T_naive,ENSG00000147457,CHMP7
T_naive,ENSG00000147454,SLC25A37
T_naive,ENSG00000104228,TRIM35
T_naive,ENSG00000120915,EPHX2
T_naive,ENSG00000147421,HMBOX1
T_naive,ENSG00000104695,PPP2CB
T_naive,ENSG00000077782,FGFR1
T_naive,ENSG00000147526,TACC1
T_naive,ENSG00000169499,PLEKHA2
T_naive,ENSG00000147533,GOLGA7
T_naive,ENSG00000070718,AP3M2
T_naive,ENSG00000070501,POLB
T_naive,ENSG00000176209,SMIM19
T_naive,ENSG00000168300,PCMTD1
T_naive,ENSG00000137574,TGS1
T_naive,ENSG00000104388,RAB2A
T_naive,ENSG00000213865,C8orf44
T_naive,ENSG00000067167,TRAM1
T_naive,ENSG00000246366,LACTB2-AS1
T_naive,ENSG00000171033,PKIA
T_naive,ENSG00000104427,ZC2HC1A
T_naive,ENSG00000076554,TPD52
T_naive,ENSG00000133740,E2F5
T_naive,ENSG00000123124,WWP1
T_naive,ENSG00000197275,RAD54B
T_naive,ENSG00000147649,MTDH
T_naive,ENSG00000164930,FZD6
T_naive,ENSG00000147677,EIF3H
T_naive,ENSG00000170873,MTSS1
T_naive,ENSG00000253438,PCAT1
T_naive,ENSG00000249859,PVT1
T_naive,ENSG00000147813,"NAPRT"
T_naive,ENSG00000104529,EEF1D
T_naive,ENSG00000178209,PLEC
T_naive,ENSG00000160948,VPS28
T_naive,ENSG00000187954,CYHR1
T_naive,ENSG00000161016,RPL8
T_naive,ENSG00000147789,ZNF7
T_naive,ENSG00000107099,DOCK8
T_naive,ENSG00000107249,GLIS3
T_naive,ENSG00000107020,PLGRKT
T_naive,ENSG00000155158,TTC39B
T_naive,ENSG00000272842,AL391834.1
T_naive,ENSG00000188921,HACD4
T_naive,ENSG00000107201,DDX58
T_naive,ENSG00000086061,DNAJA1
T_naive,ENSG00000086062,B4GALT1
T_naive,ENSG00000164978,NUDT2
T_naive,ENSG00000213930,GALT
T_naive,ENSG00000198467,TPM2
T_naive,ENSG00000159921,GNE
T_naive,ENSG00000137106,GRHPR
T_naive,ENSG00000137054,POLR1E
T_naive,ENSG00000165275,TRMT10B
T_naive,ENSG00000188647,PTAR1
T_naive,ENSG00000204711,C9orf135
T_naive,ENSG00000135046,ANXA1
T_naive,ENSG00000106733,NMRK1
T_naive,ENSG00000134996,OSTF1
T_naive,ENSG00000135069,PSAT1
T_naive,ENSG00000106829,TLE4
T_naive,ENSG00000135047,CTSL
T_naive,ENSG00000123975,CKS2
T_naive,ENSG00000127080,IPPK
T_naive,ENSG00000165140,FBP1
T_naive,ENSG00000185920,PTCH1
T_naive,ENSG00000175611,LINC00476
T_naive,ENSG00000182150,ERCC6L2
T_naive,ENSG00000130956,HABP4
T_naive,ENSG00000203279,AL590705.1
T_naive,ENSG00000136842,TMOD1
T_naive,ENSG00000136932,TRMO
T_naive,ENSG00000119318,RAD23B
T_naive,ENSG00000173258,ZNF483
T_naive,ENSG00000176386,CDC26
T_naive,ENSG00000119397,CNTRL
T_naive,ENSG00000148175,STOM
T_naive,ENSG00000171448,ZBTB26
T_naive,ENSG00000167081,PBX3
T_naive,ENSG00000095370,SH2D3C
T_naive,ENSG00000223478,AL441992.1
T_naive,ENSG00000160445,ZER1
T_naive,ENSG00000167136,ENDOG
T_naive,ENSG00000148331,ASB6
T_naive,ENSG00000160539,PLPP7
T_naive,ENSG00000160271,RALGDS
T_naive,ENSG00000175164,ABO
T_naive,ENSG00000148290,SURF1
T_naive,ENSG00000225756,DBH-AS1
T_naive,ENSG00000233016,SNHG7
T_naive,ENSG00000268996,MAN1B1-DT
T_naive,ENSG00000182154,MRPL41
T_naive,ENSG00000185201,IFITM2
T_naive,ENSG00000251661,AC136475.1
T_naive,ENSG00000142089,IFITM3
T_naive,ENSG00000255328,AC136475.5
T_naive,ENSG00000185507,IRF7
T_naive,ENSG00000177030,DEAF1
T_naive,ENSG00000177106,EPS8L2
T_naive,ENSG00000177042,TMEM80
T_naive,ENSG00000177156,TALDO1
T_naive,ENSG00000177600,RPLP2
T_naive,ENSG00000177697,CD151
T_naive,ENSG00000130592,LSP1
T_naive,ENSG00000110628,SLC22A18
T_naive,ENSG00000205531,"NAP1L4"
T_naive,ENSG00000175390,EIF3F
T_naive,ENSG00000166452,AKIP1
T_naive,ENSG00000175348,TMEM9B
T_naive,ENSG00000166471,TMEM41B
T_naive,ENSG00000129083,COPB1
T_naive,ENSG00000070081,NUCB2
T_naive,ENSG00000166788,SAAL1
